# Свойство вида соединения символов
# Файл выгружен средством «tools/idna/joining.cpp» из состава эталонной
# реализации GNU libunistring. Правки, внесённые вручную, теряются.
00AD..00AD ; T
0300..036F ; T
0483..0489 ; T
0591..05BD ; T
05BF..05BF ; T
05C1..05C2 ; T
05C4..05C5 ; T
05C7..05C7 ; T
0610..061A ; T
061C..061C ; T
0620..0620 ; D
0622..0625 ; R
0626..0626 ; D
0627..0627 ; R
0628..0628 ; D
0629..0629 ; R
062A..062E ; D
062F..0632 ; R
0633..063F ; D
0640..0640 ; C
0641..0647 ; D
0648..0648 ; R
0649..064A ; D
064B..065F ; T
066E..066F ; D
0670..0670 ; T
0671..0673 ; R
0675..0677 ; R
0678..0687 ; D
0688..0699 ; R
069A..06BF ; D
06C0..06C0 ; R
06C1..06C2 ; D
06C3..06CB ; R
06CC..06CC ; D
06CD..06CD ; R
06CE..06CE ; D
06CF..06CF ; R
06D0..06D1 ; D
06D2..06D3 ; R
06D5..06D5 ; R
06D6..06DC ; T
06DF..06E4 ; T
06E7..06E8 ; T
06EA..06ED ; T
06EE..06EF ; R
06FA..06FC ; D
06FF..06FF ; D
070F..070F ; T
0710..0710 ; R
0711..0711 ; T
0712..0714 ; D
0715..0719 ; R
071A..071D ; D
071E..071E ; R
071F..0727 ; D
0728..0728 ; R
0729..0729 ; D
072A..072A ; R
072B..072B ; D
072C..072C ; R
072D..072E ; D
072F..072F ; R
0730..074A ; T
074D..074D ; R
074E..0758 ; D
0759..075B ; R
075C..076A ; D
076B..076C ; R
076D..0770 ; D
0771..0771 ; R
0772..0772 ; D
0773..0774 ; R
0775..0777 ; D
0778..0779 ; R
077A..077F ; D
07A6..07B0 ; T
07CA..07EA ; D
07EB..07F3 ; T
07FA..07FA ; C
07FD..07FD ; T
0816..0819 ; T
081B..0823 ; T
0825..0827 ; T
0829..082D ; T
0840..0840 ; R
0841..0845 ; D
0846..0847 ; R
0848..0848 ; D
0849..0849 ; R
084A..0853 ; D
0854..0854 ; R
0855..0855 ; D
0856..0858 ; R
0859..085B ; T
0860..0860 ; D
0862..0865 ; D
0867..0867 ; R
0868..0868 ; D
0869..086A ; R
0870..0882 ; R
0883..0885 ; C
0886..0886 ; D
0889..088D ; D
088E..088E ; R
0898..089F ; T
08A0..08A9 ; D
08AA..08AC ; R
08AE..08AE ; R
08AF..08B0 ; D
08B1..08B2 ; R
08B3..08B8 ; D
08B9..08B9 ; R
08BA..08C8 ; D
08CA..08E1 ; T
08E3..0902 ; T
093A..093A ; T
093C..093C ; T
0941..0948 ; T
094D..094D ; T
0951..0957 ; T
0962..0963 ; T
0981..0981 ; T
09BC..09BC ; T
09C1..09C4 ; T
09CD..09CD ; T
09E2..09E3 ; T
09FE..09FE ; T
0A01..0A02 ; T
0A3C..0A3C ; T
0A41..0A42 ; T
0A47..0A48 ; T
0A4B..0A4D ; T
0A51..0A51 ; T
0A70..0A71 ; T
0A75..0A75 ; T
0A81..0A82 ; T
0ABC..0ABC ; T
0AC1..0AC5 ; T
0AC7..0AC8 ; T
0ACD..0ACD ; T
0AE2..0AE3 ; T
0AFA..0AFF ; T
0B01..0B01 ; T
0B3C..0B3C ; T
0B3F..0B3F ; T
0B41..0B44 ; T
0B4D..0B4D ; T
0B55..0B56 ; T
0B62..0B63 ; T
0B82..0B82 ; T
0BC0..0BC0 ; T
0BCD..0BCD ; T
0C00..0C00 ; T
0C04..0C04 ; T
0C3C..0C3C ; T
0C3E..0C40 ; T
0C46..0C48 ; T
0C4A..0C4D ; T
0C55..0C56 ; T
0C62..0C63 ; T
0C81..0C81 ; T
0CBC..0CBC ; T
0CBF..0CBF ; T
0CC6..0CC6 ; T
0CCC..0CCD ; T
0CE2..0CE3 ; T
0D00..0D01 ; T
0D3B..0D3C ; T
0D41..0D44 ; T
0D4D..0D4D ; T
0D62..0D63 ; T
0D81..0D81 ; T
0DCA..0DCA ; T
0DD2..0DD4 ; T
0DD6..0DD6 ; T
0E31..0E31 ; T
0E34..0E3A ; T
0E47..0E4E ; T
0EB1..0EB1 ; T
0EB4..0EBC ; T
0EC8..0ECD ; T
0F18..0F19 ; T
0F35..0F35 ; T
0F37..0F37 ; T
0F39..0F39 ; T
0F71..0F7E ; T
0F80..0F84 ; T
0F86..0F87 ; T
0F8D..0F97 ; T
0F99..0FBC ; T
0FC6..0FC6 ; T
102D..1030 ; T
1032..1037 ; T
1039..103A ; T
103D..103E ; T
1058..1059 ; T
105E..1060 ; T
1071..1074 ; T
1082..1082 ; T
1085..1086 ; T
108D..108D ; T
109D..109D ; T
135D..135F ; T
1712..1714 ; T
1732..1733 ; T
1752..1753 ; T
1772..1773 ; T
17B4..17B5 ; T
17B7..17BD ; T
17C6..17C6 ; T
17C9..17D3 ; T
17DD..17DD ; T
1807..1807 ; D
180A..180A ; C
180B..180D ; T
180F..180F ; T
1820..1878 ; D
1885..1886 ; T
1887..18A8 ; D
18A9..18A9 ; T
18AA..18AA ; D
1920..1922 ; T
1927..1928 ; T
1932..1932 ; T
1939..193B ; T
1A17..1A18 ; T
1A1B..1A1B ; T
1A56..1A56 ; T
1A58..1A5E ; T
1A60..1A60 ; T
1A62..1A62 ; T
1A65..1A6C ; T
1A73..1A7C ; T
1A7F..1A7F ; T
1AB0..1ACE ; T
1B00..1B03 ; T
1B34..1B34 ; T
1B36..1B3A ; T
1B3C..1B3C ; T
1B42..1B42 ; T
1B6B..1B73 ; T
1B80..1B81 ; T
1BA2..1BA5 ; T
1BA8..1BA9 ; T
1BAB..1BAD ; T
1BE6..1BE6 ; T
1BE8..1BE9 ; T
1BED..1BED ; T
1BEF..1BF1 ; T
1C2C..1C33 ; T
1C36..1C37 ; T
1CD0..1CD2 ; T
1CD4..1CE0 ; T
1CE2..1CE8 ; T
1CED..1CED ; T
1CF4..1CF4 ; T
1CF8..1CF9 ; T
1DC0..1DFF ; T
200B..200B ; T
200D..200D ; C
200E..200F ; T
202A..202E ; T
2060..2064 ; T
206A..206F ; T
20D0..20F0 ; T
2CEF..2CF1 ; T
2D7F..2D7F ; T
2DE0..2DFF ; T
302A..302D ; T
3099..309A ; T
A66F..A672 ; T
A674..A67D ; T
A69E..A69F ; T
A6F0..A6F1 ; T
A802..A802 ; T
A806..A806 ; T
A80B..A80B ; T
A825..A826 ; T
A82C..A82C ; T
A840..A871 ; D
A872..A872 ; L
A8C4..A8C5 ; T
A8E0..A8F1 ; T
A8FF..A8FF ; T
A926..A92D ; T
A947..A951 ; T
A980..A982 ; T
A9B3..A9B3 ; T
A9B6..A9B9 ; T
A9BC..A9BD ; T
A9E5..A9E5 ; T
AA29..AA2E ; T
AA31..AA32 ; T
AA35..AA36 ; T
AA43..AA43 ; T
AA4C..AA4C ; T
AA7C..AA7C ; T
AAB0..AAB0 ; T
AAB2..AAB4 ; T
AAB7..AAB8 ; T
AABE..AABF ; T
AAC1..AAC1 ; T
AAEC..AAED ; T
AAF6..AAF6 ; T
ABE5..ABE5 ; T
ABE8..ABE8 ; T
ABED..ABED ; T
FB1E..FB1E ; T
FE00..FE0F ; T
FE20..FE2F ; T
FEFF..FEFF ; T
FFF9..FFFB ; T
101FD..101FD ; T
102E0..102E0 ; T
10376..1037A ; T
10A01..10A03 ; T
10A05..10A06 ; T
10A0C..10A0F ; T
10A38..10A3A ; T
10A3F..10A3F ; T
10AC0..10AC4 ; D
10AC5..10AC5 ; R
10AC7..10AC7 ; R
10AC9..10ACA ; R
10ACD..10ACD ; L
10ACE..10AD2 ; R
10AD3..10AD6 ; D
10AD7..10AD7 ; L
10AD8..10ADC ; D
10ADD..10ADD ; R
10ADE..10AE0 ; D
10AE1..10AE1 ; R
10AE4..10AE4 ; R
10AE5..10AE6 ; T
10AEB..10AEE ; D
10AEF..10AEF ; R
10B80..10B80 ; D
10B81..10B81 ; R
10B82..10B82 ; D
10B83..10B85 ; R
10B86..10B88 ; D
10B89..10B89 ; R
10B8A..10B8B ; D
10B8C..10B8C ; R
10B8D..10B8D ; D
10B8E..10B8F ; R
10B90..10B90 ; D
10B91..10B91 ; R
10BA9..10BAC ; R
10BAD..10BAE ; D
10D00..10D00 ; L
10D01..10D21 ; D
10D22..10D22 ; R
10D23..10D23 ; D
10D24..10D27 ; T
10EAB..10EAC ; T
10F30..10F32 ; D
10F33..10F33 ; R
10F34..10F44 ; D
10F46..10F50 ; T
10F51..10F53 ; D
10F54..10F54 ; R
10F70..10F73 ; D
10F74..10F75 ; R
10F76..10F81 ; D
10F82..10F85 ; T
10FB0..10FB0 ; D
10FB2..10FB3 ; D
10FB4..10FB6 ; R
10FB8..10FB8 ; D
10FB9..10FBA ; R
10FBB..10FBC ; D
10FBD..10FBD ; R
10FBE..10FBF ; D
10FC1..10FC1 ; D
10FC2..10FC3 ; R
10FC4..10FC4 ; D
10FC9..10FC9 ; R
10FCA..10FCA ; D
10FCB..10FCB ; L
11001..11001 ; T
11038..11046 ; T
11070..11070 ; T
11073..11074 ; T
1107F..11081 ; T
110B3..110B6 ; T
110B9..110BA ; T
110C2..110C2 ; T
11100..11102 ; T
11127..1112B ; T
1112D..11134 ; T
11173..11173 ; T
11180..11181 ; T
111B6..111BE ; T
111C9..111CC ; T
111CF..111CF ; T
1122F..11231 ; T
11234..11234 ; T
11236..11237 ; T
1123E..1123E ; T
112DF..112DF ; T
112E3..112EA ; T
11300..11301 ; T
1133B..1133C ; T
11340..11340 ; T
11366..1136C ; T
11370..11374 ; T
11438..1143F ; T
11442..11444 ; T
11446..11446 ; T
1145E..1145E ; T
114B3..114B8 ; T
